 Pressure(dbar)  Temperature(°C)  Salinity(PSU)
     363.200012        11.242000      35.035000
     387.799988        10.991000      35.035000
     413.100006        10.750000      35.033001
     438.000000        10.528000      35.030998
     462.600006        10.314000      35.028000
     487.500000        10.144000      35.027000
     512.700012         9.996000      35.028000
     537.900024         9.832000      35.026001
     563.200012         9.657000      35.021999
     588.400024         9.431000      35.015999
     613.200012         9.218000      35.013000
     638.200012         9.042000      35.006001
     663.200012         8.785000      34.997002
     688.900024         8.556000      34.991001
     712.900024         8.385000      34.984001
     738.000000         8.208000      34.980000
     762.799988         8.051000      34.974998
     787.500000         7.887000      34.967999
     812.599976         7.687000      34.960999
     837.900024         7.515000      34.956001
     863.200012         7.345000      34.949001
     888.200012         7.237000      34.946999
     913.299988         7.039000      34.938999
     938.200012         6.786000      34.931000
     963.700012         6.624000      34.926998
     987.799988         6.421000      34.919998
    1012.900024         6.256000      34.912998
    1037.900024         6.123000      34.907001
    1062.800049         5.987000      34.902000
    1087.900024         5.854000      34.896000
    1113.000000         5.752000      34.891998
    1137.599976         5.667000      34.889000
    1162.599976         5.552000      34.884998
    1188.699951         5.438000      34.881001
    1212.599976         5.337000      34.877998
    1237.800049         5.222000      34.874001
    1263.000000         5.106000      34.868999
    1287.599976         4.999000      34.866001
    1312.900024         4.884000      34.862000
    1337.900024         4.766000      34.856998
    1362.800049         4.686000      34.854000
    1388.000000         4.570000      34.849998
    1413.199951         4.445000      34.845001
    1438.300049         4.321000      34.841000
    1463.199951         4.195000      34.835999
    1488.000000         4.074000      34.831001
    1513.000000         3.965000      34.827000
    1537.699951         3.838000      34.821999
    1562.500000         3.755000      34.819000
    1587.500000         3.649000      34.814999
    1612.800049         3.537000      34.810001
    1638.199951         3.435000      34.806000
    1663.000000         3.342000      34.801998
    1688.099976         3.247000      34.798000
    1713.199951         3.150000      34.793999
    1738.000000         3.079000      34.791000
    1762.900024         3.007000      34.787998
    1789.000000         2.939000      34.784000
    1812.800049         2.895000      34.783001
    1837.800049         2.839000      34.779999
    1863.000000         2.798000      34.778000
    1887.900024         2.759000      34.777000
    1912.800049         2.724000      34.775002
    1937.800049         2.677000      34.772999
    1963.000000         2.637000      34.771000
    1985.300049         2.605000      34.770000
            NaN              NaN            NaN
       0.300000        29.007999      33.324001
       1.100000        29.009001      33.323002
       1.800000        29.010000      33.321999
       2.600000        29.007000      33.323002
       3.600000        29.006001      33.324001
       4.500000        29.007000      33.323002
       5.600000        29.009001      33.324001
       6.700000        29.011999      33.323002
       7.800000        29.011000      33.324001
       9.000000        29.009001      33.327000
      10.100000        29.010000      33.326000
      15.700000        29.006001      33.328999
      25.200001        29.017000      33.384998
      34.900002        29.115999      33.688999
      45.500000        29.069000      33.705002
      55.700001        28.952999      33.734001
      66.000000        28.679001      33.877998
      75.599998        28.504000      34.009998
      85.699997        28.556999      34.351002
      95.500000        27.313999      34.401001
     105.500000        25.985001      34.647999
     115.000000        24.014999      34.660000
     125.400002        22.882999      34.759998
     135.199997        21.305000      34.762001
     145.500000        19.895000      34.893002
     155.000000        18.747000      34.894001
     165.699997        17.672001      34.910000
     175.300003        16.840000      34.926998
     185.899994        16.093000      34.937000
     195.500000        15.325000      34.949001
     212.899994        14.744000      35.000999
     238.000000        14.048000      35.007000
     262.600006        13.193000      34.998001
     287.700012        12.640000      35.009998
     313.299988        12.172000      35.016998
     338.299988        11.786000      35.026001
     364.000000        11.434000      35.034000
     387.700012        11.112000      35.036999
     412.299988        10.849000      35.036999
     437.700012        10.631000      35.032001
     463.000000        10.423000      35.028999
     487.799988        10.226000      35.028000
     512.500000        10.023000      35.028000
     537.700012         9.847000      35.026001
     562.700012         9.623000      35.021000
     588.000000         9.424000      35.015999
     613.299988         9.188000      35.011002
     638.200012         8.981000      35.006001
     663.900024         8.784000      34.998001
     687.700012         8.571000      34.991001
     712.700012         8.402000      34.987000
     738.000000         8.234000      34.980000
     762.599976         8.071000      34.973999
     787.500000         7.913000      34.969002
     812.900024         7.719000      34.963001
     837.900024         7.559000      34.957001
     863.099976         7.410000      34.952000
     888.400024         7.264000      34.945999
     913.299988         7.098000      34.942001
     938.799988         6.881000      34.933998
     962.500000         6.693000      34.929001
     987.799988         6.514000      34.923000
    1013.000000         6.373000      34.917999
    1037.800049         6.282000      34.915001
    1063.000000         6.130000      34.908001
    1087.900024         5.985000      34.902000
    1112.699951         5.860000      34.896999
    1137.699951         5.735000      34.891998
    1162.800049         5.611000      34.887001
    1188.000000         5.497000      34.882999
    1212.900024         5.401000      34.880001
    1237.699951         5.315000      34.876999
    1263.000000         5.214000      34.873001
    1288.099976         5.120000      34.868999
    1313.000000         5.035000      34.867001
    1338.099976         4.936000      34.863998
    1363.300049         4.797000      34.858002
    1387.900024         4.670000      34.853001
    1412.900024         4.530000      34.848000
    1438.500000         4.408000      34.844002
    1462.599976         4.282000      34.839001
    1487.300049         4.108000      34.833000
    1513.099976         3.985000      34.827000
    1537.599976         3.871000      34.824001
    1562.800049         3.766000      34.820000
    1587.800049         3.727000      34.818001
    1613.000000         3.668000      34.816002
    1638.000000         3.563000      34.811001
    1663.000000         3.482000      34.807999
    1688.199951         3.410000      34.805000
    1713.000000         3.335000      34.801998
    1737.800049         3.258000      34.798000
    1762.800049         3.174000      34.794998
    1788.000000         3.095000      34.791000
    1813.199951         3.000000      34.786999
    1838.000000         2.926000      34.784000
    1862.900024         2.869000      34.780998
    1887.699951         2.812000      34.778999
    1912.599976         2.761000      34.777000
    1937.599976         2.712000      34.773998
    1962.599976         2.666000      34.771999
    1987.599976         2.622000      34.770000
    2007.300049         2.582000      34.769001
       0.200000        29.667000      33.382999
       1.100000        29.672001      33.380001
       2.000000        29.681000      33.375000
       2.900000        29.690001      33.362999
       3.900000        29.666000      33.370998
       5.100000        29.643000      33.377998
       5.800000        29.659000      33.380001
       6.600000        29.645000      33.395000
       7.900000        29.599001      33.376999
       9.200000        29.534000      33.394001
      10.000000        29.483000      33.372002
      15.400000        29.459000      33.374001
      25.299999        29.198999      33.483002
      35.400002        29.132000      33.522999
      45.700001        28.990000      33.618999
      55.299999        28.900999      33.834999
      65.300003        28.691000      33.966000
      75.500000        28.438000      34.021999
      85.599998        28.370001      34.271000
      95.800003        27.909000      34.562000
     105.599998        26.832001      34.644001
     115.199997        25.111000      34.622002
     125.400002        22.902000      34.669998
     135.100006        20.523001      34.862999
     145.300003        19.047001      34.889999
     155.199997        18.164000      34.907001
     165.399994        17.546000      34.923000
     175.500000        17.066000      34.926998
     185.399994        16.388000      34.946999
     194.899994        15.898000      34.962002
     212.399994        14.906000      34.973999
     238.500000        13.868000      35.002998
     262.200012        13.227000      35.000999
     287.600006        12.684000      34.990002
     312.600006        12.356000      35.016998
     338.200012        11.953000      35.026001
     363.500000        11.565000      35.028999
     387.500000        11.182000      35.030998
     412.299988        10.890000      35.033001
     437.399994        10.687000      35.032001
     463.000000        10.470000      35.032001
     488.500000        10.247000      35.028999
     514.099976        10.014000      35.026001
     537.500000         9.767000      35.021000
